setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_ctilde,effect_only,enc_norm,0.033459509232018854,0.5644077165869952,-0.07687959094405435,0.13870663759300128,300,1,effect_l2,10000,10000,1.0,0.5957637008418283
gemma_2_2b,collateral_ctilde,effect_only,enc_dec_cos,-0.32639464203336155,7.501499550464333e-09,-0.42608238514846075,-0.21482512575882365,300,1,effect_l2,10000,10000,9.751949415603633e-08,2.0361213065546044e-08
gemma_2_2b,collateral_ctilde,effect_only,frequency,0.48181679203402106,8.73766928458438e-19,0.380469589922572,0.5753061590626899,300,1,effect_l2,10000,10000,1.6466663538553238e-17,5.5338572135701075e-18
gemma_2_2b,collateral_ctilde,effect_only,bin_entropy,0.48181679203402106,8.73766928458438e-19,0.380469589922572,0.5753061590626899,300,1,effect_l2,10000,10000,1.6466663538553238e-17,5.5338572135701075e-18
gemma_2_2b,collateral_ctilde,effect_only,act_entropy,0.47647293633468957,2.3702404728185277e-18,0.3730946216945731,0.5707783371087742,300,1,effect_l2,10000,10000,3.7923847565096444e-17,1.1258642245888006e-17
gemma_2_2b,collateral_ctilde,effect_only,act_kurtosis,-0.4029030354118164,4.256632877139651e-13,-0.5009195259240145,-0.29884689350097043,300,1,effect_l2,10000,10000,5.959286027995511e-12,1.3479337444275563e-12
gemma_2_2b,collateral_ctilde,effect_only,act_mag,0.48186010212031116,8.666665020291178e-19,0.38440065704893345,0.5700874849002417,300,1,effect_l2,10000,10000,1.6466663538553238e-17,5.5338572135701075e-18
gemma_2_2b,collateral_ctilde,effect_only,act_mean_firing,0.21857293477189216,0.00013907095612201683,0.10796707404493129,0.32280447362322395,300,1,effect_l2,10000,10000,0.0012516386050981515,0.00024021346966530182
gemma_2_2b,collateral_ctilde,effect_only,act_std,0.4177633300298528,4.6567817474591626e-14,0.31414216716929977,0.5114332093331178,300,1,effect_l2,10000,10000,6.985172621188744e-13,1.7695770640344819e-13
gemma_2_2b,collateral_ctilde,effect_only,act_max,0.20639204689964366,0.00032731891660064933,0.09451638031914215,0.3122225874447849,300,1,effect_l2,10000,10000,0.0026185513328051946,0.0005182549512843614
gemma_2_2b,collateral_ctilde,effect_only,coact_entropy,0.27669300501812816,1.1760279489639392e-06,0.16478166298624344,0.38509370130792253,300,1,effect_l2,10000,10000,1.411233538756727e-05,2.7930663787893553e-06
gemma_2_2b,collateral_ctilde,effect_only,coact_count,-0.10790381145429634,0.0623975453998696,-0.22462066259093058,0.007930603557812013,300,1,effect_l2,10000,10000,0.2495901815994784,0.07409708516234516
gemma_2_2b,collateral_ctilde,effect_only,logit_l2,-0.011654410924639171,0.8409438690235095,-0.12584014451468484,0.10403863350676575,300,1,effect_l2,10000,10000,1.0,0.8409438690235095
gemma_2_2b,collateral_ctilde,effect_only,logit_linf,-0.15349186008838336,0.007842448248618697,-0.2591077674881415,-0.04602272783525537,300,1,effect_l2,10000,10000,0.04705468949171218,0.010643322623125376
